序号	单词	词频
1	a	12978
2	the	9959
3	class	9463
4	p	9329
5	to	6482
6	and	5932
7	para	5856
8	of	5751
9	li	5535
10	i	5507
11	href	4901
12	in	4863
13	xhtml	4846
14	char	2495
15	note	2076
16	id	2009
17	that	1965
18	role	1961
19	doc	1903
20	aria	1593
21	label	1570
22	en	1507
23	is	1505
24	back	1406
25	reference	1377
26	it	1348
27	title	1258
28	for	1173
29	on	1040
30	pagebreak	1030
31	as	990
32	s	985
33	by	948
34	was	910
35	secondary	886
36	but	828
37	or	810
38	are	783
39	they	779
40	chapter	741
41	information	711
42	span	705
43	with	699
44	from	689
45	enref	687
46	noteref	687
47	backlink	687
48	we	686
49	be	663
50	an	656
51	new	655
52	primary	631
53	this	627
54	their	619
55	www	606
56	people	598
57	were	587
58	epub	585
59	type	544
60	not	542
61	have	536
62	human	533
63	more	519
64	about	512
65	all	490
66	http	487
67	t	481
68	no	480
69	if	466
70	can	462
71	ai	444
72	like	430
73	what	425
74	how	409
75	com	407
76	even	401
77	one	391
78	when	389
79	world	385
80	at	381
81	org	369
82	power	362
83	could	359
84	also	358
85	than	356
86	our	350
87	humans	331
88	who	327
89	its	326
90	other	326
91	which	312
92	history	311
93	only	310
94	social	293
95	many	289
96	most	289
97	them	285
98	will	285
99	index	281
100	press	280
101	his	280
102	see	280
103	you	279
104	would	278
105	some	266
106	computer	263
107	network	262
108	these	261
109	ul	261
110	such	257
111	had	256
112	decisions	250
113	might	250
114	computers	245
115	first	245
116	technology	243
117	he	242
118	example	241
119	has	240
120	just	236
121	truth	234
122	there	233
123	data	232
124	political	230
125	algorithms	222
126	university	220
127	may	219
128	because	218
129	us	210
130	order	210
131	so	209
132	democracy	205
133	while	203
134	should	196
135	war	192
136	between	190
137	self	188
138	u	186
139	into	184
140	do	182
141	century	176
142	make	176
143	any	174
144	errors	171
145	over	171
146	html	168
147	book	168
148	reality	167
149	years	167
150	networks	165
151	rather	164
152	been	164
153	made	164
154	documents	163
155	different	163
156	york	163
157	soviet	163
158	stories	159
159	system	157
160	mechanisms	156
161	percent	155
162	media	155
163	own	154
164	two	152
165	correcting	151
166	algorithm	148
167	then	145
168	government	145
169	news	144
170	members	143
171	democracies	143
172	states	142
173	institutions	142
174	after	141
175	every	140
176	church	138
177	much	137
178	xref	136
179	up	135
180	out	134
181	know	131
182	al	131
183	another	129
184	time	129
185	facebook	128
186	why	127
187	modern	127
188	et	127
189	article	126
190	div	125
191	early	125
192	life	123
193	military	123
194	state	122
195	surveillance	121
196	revolution	119
197	things	119
198	use	119
199	empire	118
200	way	117
201	far	116
202	stalin	116
203	ed	115
204	united	114
205	totalitarian	114
206	millions	114
207	doi	114
208	oxford	113
209	too	112
210	view	111
211	society	111
212	china	111
213	never	110
214	large	110
215	control	109
216	problem	109
217	often	108
218	silicon	108
219	your	108
220	fallible	107
221	democratic	107
222	cambridge	107
223	body	106
224	story	106
225	themselves	105
226	important	104
227	still	103
228	global	102
229	create	102
230	did	102
231	jews	102
232	against	101
233	well	100
234	science	100
235	need	100
236	journal	100
237	politics	99
238	itself	99
239	change	99
240	same	98
241	being	98
242	didn	98
243	don	97
244	bible	97
245	j	97
246	curtain	95
247	international	95
248	intelligence	95
249	since	95
250	n	94
251	twenty	94
252	take	94
253	american	94
254	books	94
255	right	93
256	however	93
257	public	93
258	digital	93
259	numerous	92
260	sans	92
261	whether	92
262	systems	92
263	jewish	92
264	citizens	92
265	both	91
266	day	91
267	roman	91
268	understand	90
269	future	90
270	ancient	89
271	scale	88
272	paft	88
273	old	87
274	witch	87
275	based	87
276	london	87
277	part	86
278	totalitarianism	86
279	always	86
280	making	86
281	through	86
282	cannot	85
283	biological	85
284	my	85
285	intersubjective	84
286	each	83
287	scientific	83
288	section	83
289	become	82
290	google	82
291	doesn	81
292	powerful	81
293	party	81
294	rights	80
295	go	80
296	very	80
297	where	79
298	free	79
299	without	79
300	russia	79
301	became	79
302	holy	79
303	economic	79
304	age	78
305	better	78
306	goal	78
307	research	78
308	god	77
309	single	77
310	k	77
311	https	76
312	points	76
313	mass	75
314	must	75
315	bureaucracy	75
316	long	73
317	family	73
318	army	73
319	law	73
320	letter	73
321	witches	73
322	does	72
323	now	72
324	europe	72
325	countries	71
326	course	71
327	created	71
328	used	71
329	m	71
330	women	71
331	societies	70
332	few	70
333	find	70
334	times	70
335	texts	70
336	instead	69
337	before	69
338	get	69
339	tech	69
340	gov	68
341	present	68
342	historical	68
343	during	68
344	elections	68
345	c	68
346	good	67
347	market	67
348	national	67
349	down	66
350	realities	66
351	conversation	65
352	fact	65
353	work	65
354	understanding	65
355	around	65
356	nav	64
357	true	64
358	potential	64
359	already	64
360	thousands	64
361	john	64
362	country	64
363	local	64
364	police	64
365	him	63
366	health	63
367	believe	63
368	chinese	63
369	second	63
370	lives	63
371	crucial	63
372	money	63
373	her	63
374	relentless	62
375	nature	62
376	naive	62
377	something	62
378	authority	62
379	study	62
380	million	62
381	iran	62
382	lang	61
383	text	61
384	difficult	61
385	among	61
386	city	61
387	bar	61
388	means	60
389	likely	60
390	perhaps	60
391	evolution	60
392	myanmar	60
393	d	60
394	rule	60
395	under	59
396	catholic	59
397	financial	59
398	agents	59
399	v	58
400	industrial	58
401	views	58
402	christian	58
403	religious	58
404	machine	58
405	rohingya	58
406	fmp	57
407	religion	57
408	possible	57
409	rise	57
410	person	57
411	theory	57
412	xml	56
413	xmlns	56
414	humanity	56
415	care	56
416	think	56
417	said	56
418	institution	56
419	r	56
420	laws	56
421	recognition	56
422	jan	56
423	balance	55
424	credit	55
425	archives	55
426	content	55
427	review	55
428	regimes	54
429	regime	54
430	read	54
431	cultural	54
432	want	53
433	entire	53
434	trust	53
435	year	53
436	president	53
